NOM_COM_RBD,COD_DEPE2,COD_ENSE2,NOM_PLAN_EST,NOM_SUBSECTOR,TIPO_SUBSECTOR,TOTAL_DOCENTES
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),IDIOMA EXTRANJERO: INGLÉS,2,2
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),LENGUA Y LITERATURA,2,2
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),MATEMÁTICA,2,2
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),MÚSICA,2,1
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),ORIENTACIÓN,2,7
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),RELIGIÓN,2,1
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),TECNOLOGÍA,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),APLICACIONES INFORMÁTICAS PARA LA GESTIÓN ADMINISTRATIVA,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),ARMADO Y MONTAJE EN CONSTRUCCIONES METÁLICAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),ATENCIÓN AL CLIENTE,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),AUTOMATIZACIÓN DE SISTEMAS ELÉCTRICOS INDUSTRIALES,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),CALCULO DE REMUNERACIONES,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),CIENCIAS PARA LA CIUDADANÍA,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),CORTE Y SOLDADURA EN CONSTRUCCIONES METÁLICAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),CUBICACIÓN DE MATERIALES E INSUMOS EN CONSTRUCCIONES METÁLICAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),DESARROLLO Y BIENESTAR DEL PERSONAL,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),DOTACIÓN DE PERSONAL,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),EDUCACIÓN CIUDADANA,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),EDUCACIÓN FÍSICA Y SALUD,2,2
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),ELABORACIÓN DE PROYECTOS ELÉCTRICOS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),EMPRENDIMIENTO Y EMPLEABILIDAD,2,2
